query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_318_read_14	14	11235	11027	38	9278	1160	797	589	2546
channel_478_read_160	160	7216	7254	6299	5761	922	533	571	2026
channel_358_read_3	3	12317	12622	3	10422	1291	604	909	2804
channel_373_read_122	122	11268	10598	354	7444	2420	1404	734	4558
channel_373_read_121	121	6242	6142	38	4085	1580	577	477	2634
channel_358_read_9	9	8777	8841	212	6509	1563	705	769	3037
channel_464_read_21	21	7890	8050	79	6498	926	466	626	2018
channel_464_read_23	23	2512	2628	94	1991	385	136	252	773
channel_464_read_25	25	7546	7322	1	6242	738	566	342	1646
channel_365_read_14	14	14553	14222	12	11619	1795	1139	808	3742
channel_464_read_27	27	6929	6996	65	5653	816	460	527	1803
channel_464_read_28	28	1875	1872	44	1432	298	145	142	585
channel_417_read_24	24	10178	10562	66	6796	2572	810	1194	4576
channel_388_read_96	96	3754	4176	21	3092	486	176	598	1260
channel_472_read_52	52	4421	5077	270	3249	966	206	862	2034
channel_327_read_29	29	7462	7414	60	5941	960	561	513	2034
channel_355_read_155	155	2825	2725	18	1993	533	299	199	1031
channel_398_read_184	184	3984	3807	78	3302	349	333	156	838
channel_327_read_25	25	10423	10736	69	8544	1273	606	919	2798
channel_314_read_164	164	11885	11737	57	9424	1592	869	721	3182
channel_217_read_297	297	6943	6860	12	5849	642	452	369	1463
channel_327_read_26	26	13651	13831	122	10614	2080	957	1137	4174
channel_217_read_291	291	9907	10127	169	7845	1414	648	868	2930
channel_327_read_20	20	2559	2591	20	2068	338	153	185	676
channel_217_read_293	293	4983	4976	184	3409	1075	499	492	2066
channel_314_read_162	162	3089	3170	24	2314	548	227	308	1083
channel_39_read_180	180	2543	2782	80	1825	551	167	406	1124
channel_387_read_43	43	9215	9414	2	7542	1175	498	697	2370
channel_39_read_182	182	2198	2477	157	1629	462	107	386	955
channel_39_read_185	185	6628	6747	59	4799	1327	502	621	2450
channel_39_read_186	186	7479	7581	22	5473	1421	585	687	2693
channel_35_read_8	8	36093	36147	162	28562	4856	2675	2729	10260
channel_151_read_46	46	14039	13874	122	11468	1549	1022	857	3428
channel_317_read_9	9	17879	17661	3	14205	2273	1401	1183	4857
channel_151_read_44	44	13285	13461	312	9744	2472	1069	1245	4786
channel_151_read_45	45	6135	6210	36	5094	664	377	452	1493
channel_35_read_1	1	15829	16060	14	13069	1784	976	1207	3967
channel_151_read_41	41	3197	3184	253	2397	521	279	266	1066
channel_351_read_66	66	3632	3703	6	2445	869	318	389	1576
channel_351_read_67	67	3595	3569	41	2613	654	328	302	1284
channel_138_read_179	179	13916	14446	5	11070	1977	869	1399	4245
channel_351_read_68	68	9876	11079	112	7460	1966	450	1653	4069
channel_351_read_69	69	8124	8313	1007	6311	1230	583	772	2585
channel_138_read_172	172	1367	1358	19	964	281	122	113	516
